ID,LOOPTYPE (0: Single 1: Move),FPS,,,,,,
ZombileIdleLeft,1,10,,,,,,
,,,,,,,,
TEXTURE ID,L,T,W,H,X,Y,FlipX,FlipY
graphics/enemy/zombieIdle.png,0,0,128,128,64,64,1,0
graphics/enemy/zombieIdle.png,128,0,128,128,64,64,1,0
graphics/enemy/zombieIdle.png,256,0,128,128,64,64,1,0
graphics/enemy/zombieIdle.png,384,0,128,128,64,64,1,0
graphics/enemy/zombieIdle.png,512,0,128,128,64,64,1,0
graphics/enemy/zombieIdle.png,640,0,128,128,64,64,1,0
graphics/enemy/zombieIdle.png,768,0,128,128,64,64,1,0
graphics/enemy/zombieIdle.png,896,0,128,128,64,64,1,0
