ID,LOOPTYPE (0: Single 1: Move),FPS,,,,,,
ZombileIdle,1,12,,,,,,
,,,,,,,,
TEXTURE ID,L,T,W,H,X,Y,FlipX,FlipY
graphics/enemy/zombieIdle.png,0,0,128,128,64,64,0,0
graphics/enemy/zombieIdle.png,128,0,128,128,64,64,0,0
graphics/enemy/zombieIdle.png,256,0,128,128,64,64,0,0
graphics/enemy/zombieIdle.png,384,0,128,128,64,64,0,0
graphics/enemy/zombieIdle.png,512,0,128,128,64,64,0,0
graphics/enemy/zombieIdle.png,640,0,128,128,64,64,0,0
graphics/enemy/zombieIdle.png,768,0,128,128,64,64,0,0
graphics/enemy/zombieIdle.png,896,0,128,128,64,64,0,0
